Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
Mt-0,15,2,1,0.02,0.232,0.86,2.25,1.39,0.252,25.2,,
Mt-0,15,2,2,0.01,0.265,1.01,2.41,1.4,0.275,27.5,,
Mt-0,15,2,3,0.01,0.285,1.05,1.93,0.88,0.295,29.5,,
Mt-0,15,2,4,0.01,0.236,0.81,2.44,1.63,0.246,24.6,,
Mt-0,15,3,1,0.021,0.222,0.815,2.41,1.595,0.243,24.3,,
Mt-0,15,3,2,0.01,0.29,1.12,2.14,1.02,0.3,30,,
Mt-0,15,3,3,0.005,0.285,1.11,2.6,1.49,0.29,29,,
Mt-0,15,3,4,0.015,0.297,0.76,2.02,1.26,0.312,31.2,0.895416667,
phot1-5,15,1,1,0.01,0.29,0.839,1.81,0.971,0.3,30,,
phot1-5,15,1,2,0.01,0.28,0.55,1.51,0.96,0.29,29,,
phot1-5,15,1,3,0.015,0.285,0.864,1.919,1.055,0.3,30,,
phot1-5,15,1,4,0.02,0.29,0.51,1.4,0.89,0.31,31,,
phot1-5,15,2,1,0.005,0.255,0.79,2.34,1.55,0.26,26,,
phot1-5,15,2,2,0.025,0.28,1,2.09,1.09,0.305,30.5,,
phot1-5,15,2,3,0.01,0.29,0.86,2.13,1.27,0.3,30,,
phot1-5,15,2,4,0.01,0.3,0.72,1.8,1.08,0.31,31,,
phot1-5,15,3,1,0.05,0.24,0.85,2,1.15,0.29,29,,
phot1-5,15,3,2,0.022,0.254,0.86,1.8,0.94,0.276,27.6,,
phot1-5,15,3,3,0.02,0.29,0.75,1.86,1.11,0.31,31,0.794363636,
phot1-5/2-1,15,1,1,0.015,0.281,1,2.34,1.34,0.296,29.6,,
phot1-5/2-1,15,1,2,0.027,0.268,0.85,2.2,1.35,0.295,29.5,,
phot1-5/2-1,15,1,3,0.0141,0.286,0.875,2.32,1.445,0.3001,30.01,,
phot1-5/2-1,15,1,4,0.015,0.279,0.81,2.178,1.368,0.294,29.4,,
phot1-5/2-1,15,2,1,0.016,0.251,0.798,2.24,1.442,0.267,26.7,,
phot1-5/2-1,15,2,2,0.01,0.245,0.82,2.37,1.55,0.255,25.5,,
phot1-5/2-1,15,2,3,0.01,0.271,0.83,2.4,1.57,0.281,28.1,,
phot1-5/2-1,15,2,4,0.015,0.29,0.76,2.29,1.53,0.305,30.5,,
phot1-5/2-1,15,3,1,0.02,0.22,0.97,2.6,1.63,0.24,24,,
