Plate,Individual,Genotype,Temperature,Laterals,Cell_Length,Root_Growth,Cell_Production
2,2,Cvi-0,15C,,0.199,6.389253,32.10679899
2,3,Cvi-0,15C,,0.201,6.328331,31.48423383
2,4,Cvi-0,15C,,0.204,5.728346,28.08012745
3,1,Cvi-0,15C,,0.198,6.257228,31.60216162
3,2,Cvi-0,15C,,0.189,6.3893552,33.80611217
3,3,Cvi-0,15C,,0.199,6.1983227,31.14735025
3,4,Cvi-0,15C,,0.21,8.667391,41.27329048
3,5,Cvi-0,15C,,0.202,6.182833,30.60808416
1,1,shy2-2,25C,,0.138,6.578837,47.67273188
1,2,shy2-2,25C,,0.147,10.362772,70.49504762
1,3,shy2-2,25C,,0.125,10.728372,85.826976
1,4,shy2-2,25C,,0.116,8.267391,71.27061207
1,5,shy2-2,25C,,0.165,13.828361,83.80824848
2,1,shy2-2,25C,,0.151,8.727344,57.79698013
2,2,shy2-2,25C,,0.145,7.573821,52.23324828
2,3,shy2-2,25C,,0.175,14.977328,85.58473143
2,4,shy2-2,25C,,0.118,8.283689,70.20075424
2,5,shy2-2,25C,,0.125,6.027388,48.219104
2,6,shy2-2,25C,,0.137,12.728371,92.90781752
1,1,shy2-2,25C,,0.13,6.627391,50.97993077
1,2,shy2-2,25C,,0.127,7.278332,57.30970079
1,3,shy2-2,25C,,0.135,7.378443,54.65513333
1,4,shy2-2,25C,,0.167,10.728336,64.24153293
1,5,shy2-2,25C,,0.166,13.447582,81.00953012
1,1,shy2-2,15C,,0.171,6.971923,40.77147953
1,2,shy2-2,15C,,0.143,5.227395,36.55520979
1,3,shy2-2,15C,,0.129,4.029371,31.23543411
2,1,shy2-2,15C,,0.165,6.782731,41.10746061
2,2,shy2-2,15C,,0.135,4.193847,31.06553333
2,3,shy2-2,15C,,0.145,6.827381,47.08538621
2,4,shy2-2,15C,,0.156,3.992837,25.59510897
2,5,shy2-2,15C,,0.132,3.47251,26.30689394
3,1,shy2-2,15C,,0.12,2.236451,18.63709167
3,2,shy2-2,15C,,0.112,3.028371,27.03902679
3,3,shy2-2,15C,,0.145,3.128365,21.57493103
3,4,shy2-2,15C,,0.132,4.382741,33.20258333
1,1,bes1-1D,15C,,0.183,9.675098,52.86938798
1,2,bes1-1D,15C,,0.178,8.178301,45.94551124
1,3,bes1-1D,15C,,0.173,4.876899,28.19016763
1,4,bes1-1D,15C,,0.188,5.0192732,26.6982617
1,5,bes1-1D,15C,,0.183,3.5782739,19.55340929
2,1,bes1-1D,15C,,0.187,4.578077,24.48169519
2,2,bes1-1D,15C,,0.186,7.826352,42.07716129
2,3,bes1-1D,15C,,0.173,4.0780263,23.57240636
2,4,bes1-1D,15C,,0.172,7.792733,45.30658721
3,1,bes1-1D,15C,,0.188,3.785629,20.13632447
3,2,bes1-1D,15C,,0.183,4.567826,24.96079781
3,3,bes1-1D,15C,,0.201,6.827368,33.96700498
3,4,bes1-1D,15C,,0.189,8.929973,47.24853439
3,5,bes1-1D,15C,,0.182,4.0083655,22.02398626
3,6,bes1-1D,15C,,0.184,4.208371,22.87158152
3,7,bes1-1D,15C,,0.187,5.927361,31.69711765
3,8,bes1-1D,15C,,0.199,6.352712,31.92317588
3,9,bes1-1D,15C,,0.199,6.0296645,30.29982161
1,1,bes1-1D,25C,,0.131,13.482741,102.921687
1,2,bes1-1D,25C,,0.162,17.793753,109.8379815
1,3,bes1-1D,25C,,0.157,8.283651,52.76210828
1,4,bes1-1D,25C,,0.123,7.909263,64.30295122
1,5,bes1-1D,25C,,0.146,15.278635,104.6481849
1,6,bes1-1D,25C,,0.132,17.280726,130.9145909
1,7,bes1-1D,25C,,0.139,6.2936007,45.27770288
1,8,bes1-1D,25C,,0.128,6.26708263,48.96158305
2,1,bes1-1D,25C,,0.125,16.274571,130.196568
2,2,bes1-1D,25C,,0.121,5.5780927,46.09993967
2,3,bes1-1D,25C,,0.154,8.392641,54.49766883
2,4,bes1-1D,25C,,0.149,13.2836027,89.15169597
2,5,bes1-1D,25C,,0.148,9.303762,62.86325676
2,6,bes1-1D,25C,,0.159,16.898263,106.2783836
2,7,bes1-1D,25C,,0.143,8.4273509,58.93252378
2,8,bes1-1D,25C,,0.143,10.203761,71.35497203
2,9,bes1-1D,25C,,0.137,13.563702,99.00512409
2,10,bes1-1D,25C,,0.12,5.1462731,42.88560917
3,1,bes1-1D,25C,,0.146,4.293701,29.40891096
3,2,bes1-1D,25C,,0.129,17.287756,134.0136124
3,3,bes1-1D,25C,,0.146,6.1836501,42.35376781
3,4,bes1-1D,25C,,0.149,10.662754,71.56210738
3,5,bes1-1D,25C,,0.141,7.093606,50.30926241
3,6,bes1-1D,25C,,0.149,11.293702,75.79665772
1,1,phot1-5,25C,,0.201,9.082751,45.18781592
1,2,phot1-5,25C,,0.213,12.28641,57.68267606
1,3,phot1-5,25C,,0.204,13.523265,66.29051471
1,4,phot1-5,25C,,0.217,14.829376,68.33813825
1,5,phot1-5,25C,,0.221,10.127541,45.82597738
2,1,phot1-5,25C,,0.21,14.278534,67.99301905
2,2,phot1-5,25C,,0.214,17.82964,83.31607477
2,3,phot1-5,25C,,0.215,13.928651,64.78442326
2,4,phot1-5,25C,,0.22,14.29461,64.9755
3,1,phot1-5,25C,,0.223,14.29751,64.11439462
3,2,phot1-5,25C,,0.231,16.478361,71.3348961
3,3,phot1-5,25C,,0.218,13.56287,62.215
3,4,phot1-5,25C,,0.198,12.452971,62.89379293
1,1,phot1-5,15C,,0.213,6.129103,28.77513146
1,2,phot1-5,15C,,0.198,5.782638,29.20524242
1,3,phot1-5,15C,,0.172,4.038261,23.47826163
1,4,phot1-5,15C,,0.201,5.728754,28.50126368
1,5,phot1-5,15C,,0.165,4.0287351,24.41657636
2,1,phot1-5,15C,,0.188,4.626388,24.60844681
2,2,phot1-5,15C,,0.192,5.726542,29.82573958
2,3,phot1-5,15C,,0.215,5.927334,27.56899535
2,4,phot1-5,15C,,0.169,6.482745,38.35943787
2,5,phot1-5,15C,,0.192,4.929734,25.67569792
2,6,phot1-5,15C,,0.176,5.526803,31.40228977
2,7,phot1-5,15C,,0.179,4.027541,22.50022905
3,1,phot1-5,15C,,0.184,5.172656,28.11226087
3,2,phot1-5,15C,,0.187,4.182613,22.36691444
